consumer_id,per_week_purchase_total,per_week_unique_ips,per_week_update_account,per_week_payment_method_change
671,0.0,1.0,1.0,0.0
672,,1.0,1.0,0.0
673,17.93,1.0,,0.0
674,120.38,1.0,3.0,1.0
676,19.74,1.0,,0.0
677,,1.0,,0.0
678,0.0,1.0,6.0,3.0
679,,1.0,1.0,0.0
681,19.37,2.0,1.0,0.0
683,,1.0,,0.0
684,27.22,1.0,,0.0
685,11.0,3.0,2.0,0.0
686,30.98,1.0,,0.0
687,,1.0,,0.0
688,22.48,1.0,,0.0
689,,1.0,3.0,0.0
690,0.0,1.0,1.0,0.0
691,0.0,2.0,2.0,0.0
692,49.07,1.0,,0.0
695,22.6,1.0,,0.0
696,,1.0,8.0,0.0
697,,1.0,,0.0
698,0.0,1.0,,0.0
699,22.61,1.0,,0.0
701,0.0,1.0,1.0,0.0
702,,2.0,1.0,0.0
703,21.8,1.0,1.0,0.0
704,0.0,2.0,1.0,0.0
705,0.0,1.0,2.0,0.0
707,,1.0,1.0,0.0
708,51.63,1.0,,0.0
709,,1.0,1.0,0.0
710,,1.0,,0.0
711,32.5,1.0,,0.0
712,,4.0,4.0,0.0
713,41.5,1.0,,0.0
714,17.88,1.0,,0.0
716,0.0,1.0,,0.0
717,,1.0,,1.0
718,,1.0,,0.0
719,45.28,1.0,,0.0
720,0.0,1.0,,0.0
722,25.53,1.0,,0.0
723,,1.0,7.0,5.0
724,,1.0,1.0,0.0
725,70.63,2.0,,0.0
726,21.84,1.0,4.0,0.0
728,,1.0,,0.0
729,,2.0,2.0,0.0
730,18.58,1.0,,0.0
731,22.63,1.0,,0.0
732,28.75,2.0,4.0,0.0
733,15.02,1.0,1.0,0.0
736,,3.0,2.0,0.0
737,36.4,1.0,,0.0
738,0.0,1.0,1.0,1.0
739,,1.0,,0.0
740,,1.0,,0.0
742,19.13,2.0,4.0,0.0
743,19.1,3.0,4.0,0.0
744,196.47,8.0,4.0,2.0
745,123.05,1.0,,0.0
746,0.0,1.0,1.0,0.0
747,35.18,1.0,,0.0
748,24.46,2.0,6.0,5.0
749,127.31,1.0,,0.0
750,9.99,2.0,3.0,0.0
752,0.0,1.0,1.0,0.0
754,,2.0,7.0,0.0
755,13.74,1.0,,0.0
756,,1.0,,0.0
757,34.55,1.0,,0.0
760,0.0,1.0,,0.0
761,,1.0,1.0,0.0
762,0.0,1.0,,0.0
763,,2.0,4.0,2.0
764,95.64,1.0,2.0,1.0
765,54.63,2.0,6.0,0.0
766,65.18,2.0,,0.0
767,,1.0,,0.0
769,,1.0,,0.0
770,40.75,1.0,,0.0
771,,1.0,,0.0
772,11.71,1.0,,0.0
773,80.01,1.0,15.0,8.0
774,69.51,1.0,2.0,3.0
775,0.0,2.0,,0.0
776,,1.0,,0.0
777,17.35,2.0,4.0,0.0
778,0.0,1.0,1.0,0.0
779,57.04,1.0,,0.0
780,,2.0,3.0,0.0
782,,1.0,1.0,0.0
783,0.0,1.0,,8.0
784,0.0,1.0,,0.0
785,69.09,1.0,1.0,0.0
786,,1.0,,0.0
788,28.3,1.0,,0.0
789,0.0,1.0,1.0,0.0
790,,1.0,2.0,0.0
791,,1.0,2.0,0.0
792,34.19,2.0,,0.0
793,302.5359252747219,3.0,12.0,0.0
795,20.54,1.0,1.0,0.0
796,0.0,1.0,,0.0
797,3.17,2.0,6.0,0.0
798,55.14,1.0,,0.0
799,,1.0,,0.0
800,35.23,1.0,,0.0
801,14.71,1.0,3.0,0.0
802,21.06,1.0,3.0,0.0
803,,1.0,1.0,0.0
804,0.0,1.0,6.0,4.0
805,95.63,1.0,,0.0
806,,1.0,4.0,0.0
807,,1.0,,0.0
809,,2.0,2.0,0.0
810,,1.0,2.0,0.0
811,,1.0,,0.0
812,19.0,2.0,2.0,0.0
813,340.89,3.0,13.0,0.0
814,26.01,1.0,1.0,0.0
816,21.6,1.0,,0.0
817,171.98,1.0,,0.0
818,26.88,7.0,30.0,28.0
820,,1.0,10.0,0.0
821,0.0,1.0,6.0,0.0
822,0.0,1.0,2.0,0.0
823,0.0,1.0,,2.0
824,30.19,1.0,,0.0
825,0.0,2.0,,0.0
826,0.0,2.0,2.0,0.0
827,152.41,2.0,,0.0
829,24.04,1.0,2.0,0.0
830,22.42,1.0,,0.0
832,83.17,2.0,,0.0
833,26.54,1.0,,0.0
834,,1.0,1.0,0.0
835,0.0,1.0,1.0,0.0
836,0.0,1.0,1.0,0.0
837,39.58,1.0,2.0,0.0
840,14.55,2.0,8.0,0.0
841,32.91,1.0,,0.0
842,,1.0,2.0,0.0
843,,1.0,4.0,0.0
844,0.0,2.0,2.0,0.0
845,,2.0,5.0,0.0
846,94.01999999999998,2.0,,0.0
847,31.02,1.0,3.0,0.0
848,0.0,1.0,1.0,0.0
849,3.0,1.0,3.0,0.0
850,19.68,1.0,,0.0
851,,1.0,,0.0
852,,1.0,4.0,0.0
853,38.25,2.0,4.0,0.0
854,24.08,1.0,,0.0
855,26.32,1.0,,0.0
856,0.0,1.0,1.0,0.0
857,,1.0,1.0,0.0
858,0.0,1.0,2.0,0.0
859,,1.0,,0.0
860,21.22,1.0,2.0,0.0
864,128.2,6.0,14.0,22.0
865,335.93999999999994,4.0,12.0,0.0
866,,1.0,2.0,0.0
868,,3.0,4.0,0.0
869,28.96,2.0,,0.0
870,0.0,1.0,1.0,0.0
871,58.37,3.0,3.0,0.0
872,,1.0,,0.0
873,22.2,1.0,,0.0
874,60.68,3.0,4.0,0.0
875,,1.0,4.0,0.0
876,0.0,1.0,4.0,3.0
879,15.48,1.0,1.0,0.0
880,46.05,1.0,,0.0
882,,1.0,2.0,0.0
883,,1.0,,1.0
884,,1.0,,0.0
885,,2.0,1.0,0.0
886,,1.0,,0.0
887,22.8,1.0,,0.0
888,266.75,3.0,2.0,0.0
889,0.0,2.0,,0.0
890,0.0,1.0,,0.0
891,23.45,1.0,,0.0
892,0.0,1.0,,0.0
893,137.45,5.0,7.0,7.0
894,,1.0,,0.0
895,0.0,1.0,1.0,0.0
896,27.82,1.0,,0.0
897,,1.0,9.0,3.0
898,,1.0,,0.0
899,,1.0,1.0,0.0
900,48.8,1.0,4.0,0.0
901,1153.35,1.0,4.0,0.0
902,0.0,1.0,,0.0
904,0.0,1.0,1.0,0.0
906,180.34000000000003,3.0,,1.0
907,,1.0,,1.0
908,,2.0,,0.0
909,12.46,2.0,7.0,9.0
910,,2.0,8.0,5.0
911,27.34,3.0,7.0,1.0
913,,1.0,,0.0
914,0.0,1.0,,0.0
915,0.0,1.0,1.0,0.0
916,,1.0,1.0,3.0
917,,2.0,,0.0
918,,1.0,3.0,0.0
920,15.88,1.0,,0.0
921,124.6,2.0,4.0,0.0
922,,1.0,,0.0
923,26.18,2.0,1.0,1.0
924,55.28,1.0,,0.0
925,,1.0,2.0,0.0
926,34.48,1.0,,0.0
927,27.13,1.0,3.0,1.0
928,29.04,1.0,1.0,0.0
929,,1.0,,0.0
930,76.6,2.0,3.0,0.0
931,61.78,1.0,,0.0
932,,1.0,1.0,0.0
933,18.56,1.0,,0.0
934,,1.0,2.0,0.0
935,4.33,2.0,1.0,1.0
936,48.38,1.0,,0.0
937,0.0,1.0,,0.0
938,93.18,3.0,,0.0
939,0.0,1.0,4.0,0.0
940,,1.0,,0.0
943,0.0,3.0,13.0,2.0
944,204.29,2.0,2.0,0.0
945,,1.0,,0.0
947,0.0,1.0,1.0,0.0
948,0.0,1.0,4.0,1.0
949,16.97,1.0,,0.0
952,,1.0,,0.0
955,0.0,1.0,,0.0
956,,1.0,,0.0
957,,2.0,1.0,0.0
958,189.54,1.0,1.0,4.0
959,,1.0,,0.0
960,30.0,1.0,,0.0
961,0.0,1.0,,0.0
962,,1.0,,0.0
963,0.0,1.0,1.0,0.0
964,0.0,1.0,,0.0
965,54.5,1.0,,0.0
966,0.0,1.0,,0.0
967,26.39,1.0,,0.0
968,29.74,1.0,4.0,0.0
969,179.97,2.0,27.0,21.0
971,0.0,2.0,4.0,0.0
972,,1.0,4.0,0.0
973,0.0,1.0,1.0,0.0
974,163.86,7.0,8.0,0.0
975,0.0,1.0,1.0,0.0
976,47.14,1.0,1.0,0.0
978,0.0,2.0,1.0,0.0
981,27.95,1.0,6.0,0.0
982,94.12,2.0,,0.0
983,0.0,1.0,1.0,0.0
984,149.73,1.0,,0.0
